B	nu	e_para	e_perp
3.5171717171717174	115.60606060606061	2.0448062395733442e-41	1.3416151564433542e-40
3.7181818181818183	115.60606060606061	2.2663640705331505e-41	1.4833371096862107e-40
3.919191919191919	115.60606060606061	2.497670731887953e-41	1.6309347384401245e-40
4.12020202020202	115.60606060606061	2.7385595179692747e-41	1.7842902814842467e-40
4.321212121212121	115.60606060606061	2.9888720578598314e-41	1.9432922856177284e-40
4.522222222222222	115.60606060606061	3.248457340912871e-41	2.1078350123512336e-40
4.723232323232323	115.60606060606061	3.51717138910317e-41	2.2778179720433707e-40
4.924242424242424	115.60606060606061	3.7948764211573676e-41	2.453145459871722e-40
5.125252525252526	115.60606060606061	4.0814406213932773e-41	2.6337261967820606e-40
5.3262626262626265	115.60606060606061	4.3767376731608136e-41	2.8194729847727165e-40
5.527272727272727	115.60606060606061	4.680646050290088e-41	3.0103023704126736e-40
5.728282828282828	115.60606060606061	4.993049171864715e-41	3.2061344226251828e-40
5.929292929292929	115.60606060606061	5.313834743561063e-41	3.4068924533140973e-40
6.13030303030303	115.60606060606061	5.642894613621677e-41	3.6125028104990115e-40
6.331313131313132	115.60606060606061	5.980124512072863e-41	3.822894678172202e-40
6.5323232323232325	115.60606060606061	6.325423561815543e-41	4.0379998694944454e-40
6.733333333333333	115.60606060606061	6.678694518084955e-41	4.2577527070651144e-40
6.934343434343434	115.60606060606061	7.039843273692184e-41	4.4820898423701364e-40
7.135353535353535	115.60606060606061	7.408778862499054e-41	4.71095013622812e-40
7.336363636363636	115.60606060606061	7.785412731582172e-41	4.944274479302157e-40
7.537373737373738	115.60606060606061	8.169659585224284e-41	5.182005762026817e-40
7.738383838383839	115.60606060606061	8.561436459013646e-41	5.4240887038449885e-40
7.9393939393939394	115.60606060606061	8.960662621428841e-41	5.670469772422947e-40
8.140404040404041	115.60606060606061	9.367260001726953e-41	5.92109709521263e-40
8.341414141414141	115.60606060606061	9.781152710291089e-41	6.17592038953044e-40
8.542424242424243	115.60606060606061	1.0202266481841855e-40	6.434890815154837e-40
8.743434343434343	115.60606060606061	1.063052953567593e-40	6.697961001076496e-40
8.944444444444445	115.60606060606061	1.1065871829456326e-40	6.965084911806991e-40
9.145454545454545	115.60606060606061	1.1508225097728107e-40	7.236217796147996e-40
9.346464646464646	115.60606060606061	1.1957522973245911e-40	7.511316147885094e-40
9.547474747474748	115.60606060606061	1.2413700753663663e-40	7.790337634352796e-40
9.748484848484848	115.60606060606061	1.2876694878722955e-40	8.073240999107694e-40
9.94949494949495	115.60606060606061	1.3346443837999267e-40	8.35998611046685e-40
10.15050505050505	115.60606060606061	1.3822887379838863e-40	8.650533842750284e-40
10.351515151515152	115.60606060606061	1.4305966681979626e-40	8.944846056074592e-40
10.552525252525253	115.60606060606061	1.4795624528632826e-40	9.242885578988956e-40
10.753535353535353	115.60606060606061	1.529180435481524e-40	9.544616079887006e-40
10.954545454545455	115.60606060606061	1.5794451414033502e-40	9.850002152592286e-40
11.155555555555555	115.60606060606061	1.6303512017977059e-40	1.015900921094815e-39
11.356565656565657	115.60606060606061	1.6818933598006022e-40	1.0471603467163125e-39
11.557575757575757	115.60606060606061	1.7340664840629605e-40	1.0787751919078586e-39
11.758585858585858	115.60606060606061	1.7868655121491456e-40	1.110742226868534e-39
11.95959595959596	115.60606060606061	1.8402855256540594e-40	1.143058297366453e-39
12.16060606060606	115.60606060606061	1.8943216981701937e-40	1.1757203172996307e-39
12.361616161616162	115.60606060606061	1.9489692937669988e-40	1.2087252664218194e-39
12.562626262626262	115.60606060606061	2.0042236621458047e-40	1.242070187842233e-39
12.763636363636364	115.60606060606061	2.0600802592172667e-40	1.2757521881670371e-39
12.964646464646465	115.60606060606061	2.1165346352997955e-40	1.309768434496151e-39
13.165656565656565	115.60606060606061	2.1735823824701407e-40	1.3441161474226994e-39
13.366666666666667	115.60606060606061	2.231219223872344e-40	1.3787926083103371e-39
13.567676767676767	115.60606060606061	2.289440938915887e-40	1.4137951502365865e-39
13.768686868686869	115.60606060606061	2.348243402779019e-40	1.449121160439183e-39
13.969696969696969	115.60606060606061	2.4076225246636307e-40	1.4847680727057916e-39
14.17070707070707	115.60606060606061	2.4675743254105204e-40	1.520733373764026e-39
14.371717171717172	115.60606060606061	2.5280948808903704e-40	1.557014596309622e-39
14.572727272727272	115.60606060606061	2.589180343584553e-40	1.5936093199107326e-39
14.773737373737374	115.60606060606061	2.6508269232853867e-40	1.6305151678781646e-39
14.974747474747474	115.60606060606061	2.713030928201675e-40	1.667729810227108e-39
15.175757575757576	115.60606060606061	2.7757886341042773e-40	1.705250949491103e-39
15.376767676767678	115.60606060606061	2.8390964744343125e-40	1.743076338677897e-39
15.577777777777778	115.60606060606061	2.902950908943077e-40	1.7812037671216818e-39
15.77878787878788	115.60606060606061	2.9673484469148376e-40	1.8196310618345635e-39
15.97979797979798	115.60606060606061	3.0322856633629886e-40	1.858356088194197e-39
16.18080808080808	115.60606060606061	3.0977592040143762e-40	1.897376749547067e-39
16.381818181818183	115.60606060606061	3.1637657377075612e-40	1.9366909815881525e-39
16.582828282828284	115.60606060606061	3.2303020416680384e-40	1.976296760061478e-39
16.783838383838383	115.60606060606061	3.297364806495053e-40	2.01619208046347e-39
16.984848484848484	115.60606060606061	3.3649509111683595e-40	2.0563749847782926e-39
17.185858585858586	115.60606060606061	3.4330572353102633e-40	2.0968435419673264e-39
17.386868686868688	115.60606060606061	3.501680705158059e-40	2.137595851856906e-39
17.587878787878786	115.60606060606061	3.570818292411646e-40	2.1786300443395163e-39
17.788888888888888	115.60606060606061	3.6404670053105515e-40	2.2199442778226467e-39
17.98989898989899	115.60606060606061	3.7106239150634165e-40	2.2615367412364773e-39
18.19090909090909	115.60606060606061	3.781286106919796e-40	2.3034056485282928e-39
18.391919191919193	115.60606060606061	3.8524507491967625e-40	2.345549244973865e-39
